Name,ID,Version,Description
PowerToys (Preview),Microsoft.PowerToys,Latest,Microsoft PowerToys is a set of utilities for power users to tune and streamline their Windows experience for greater productivity.
Microsoft Git,Microsoft.Git,Latest,Git is a distributed version control system which means that a local clone of the project is a complete version control repository.
Microsoft Edge,Microsoft.Edge,Latest,Microsoft Edge is a cross-platform web browser created and developed by Microsoft.
Microsoft Azure CLI,Microsoft.AzureCLI,Latest,The Azure Command-Line Interface (CLI) is a cross-platform command-line tool to connect to Azure and execute administrative commands on Azure resources.
Microsoft Azure Storage Explorer,Microsoft.AzureStorageExplorer,Latest,Azure Storage Explorer is feasible and allows you to connect to any Azure storage through any device on any platform.
Zoom Outlook Plugin,Zoom.Zoom.OutlookPlugin,Latest,The Zoom Microsoft Outlook plugin is designed to make scheduling a meeting in Microsoft Outlook quick and convenient.
Zoom,Zoom.Zoom,Latest,Zoom provides videotelephony and online chat services through a cloud-based peer-to-peer software platform.
HandBrake,HandBrake.HandBrake,Latest,HandBrake is a free and open-source transcoder for digital video files.
Google Earth Pro,Google.EarthPro,Latest,Google Earth Pro on desktop is free for users with advanced feature needs Import and export GIS data and go back in time with historical imagery.
Hover,Caphyon.Hover,Latest,Hover is a free tool that allows you to run natively installed applications inside an MSIX or App-V container.
Advanced Installer,Caphyon.AdvancedInstaller,Latest,Windows Installer authoring tool which helps you create MSI installs in minutes.
7-Zip,7zip.7zip,Latest,Free and open source file archiver with a high compression ratio.
Python 3,Python.Python.3,Latest,Python is a general-purpose interpreted interactive object-oriented and high-level programming language.
Microsoft Visual Studio Code,Microsoft.VisualStudioCode,Latest,Visual Studio Code is a streamlined code editor with support for development operations like debugging task running and version control.
VMware Player,VMware.WorkstationPlayer,Latest,VMware Player provides an intuitive user interface for running preconfigured virtual machines created with VMware Workstation GSX Server and ESX Server.
RVTools,Robware.RVTools,Latest,RVTools is a VMware utility that connects to your vCenter server and captures every bit of information about your virtual machines (VMs) and your ESXi hosts that you'd want to know.
WinMerge,WinMerge.WinMerge,Latest,WinMerge is a free software tool for data comparison and merging of text-like files.
Postman,Postman.Postman,Latest,Postman is an API platform for developers to design build test and iterate their APIs.
Postman Agent,Postman.Postman.DesktopAgent,Latest,The Postman agent overcomes the Cross Object Resource Sharing (CORS) limitations of browsers and facilitates API request sending from your browser version of Postman.
IrfanView,IrfanSkiljan.IrfanView,Latest,IrfanView is an image viewer editor organiser and converter program for Microsoft Windows.
draw.io,JGraph.Draw,Latest,Diagrams.net desktop app based on Electron to create and edit diagrams.
VLC media player,VideoLAN.VLC,Latest,VLC media player is a free and open-source portable cross-platform media player software and streaming media server developed by the VideoLAN project.
Adobe Connect,Adobe.AdobeConnect,Latest,Suite of software for remote training - web conferencing - presentation and desktop sharing.
Greenshot,Greenshot.Greenshot,Latest,Greenshot is a free and open-source screenshot program for Microsoft Windows.
SmartFTP Client,SmartSoft.SmartFTP,Latest,SmartFTP is a network file transfer program for Microsoft Windows. 
mRemoteNG,mRemoteNG.mRemoteNG,Latest,mRemoteNG is a fork of mRemote an open source tabbed multi-protocol remote connections manager for Windows.
Opera Stable,Opera.Opera,Latest,Opera is a multi-platform web browser based on Chromium.
Microsoft Visio Viewer 2016,Microsoft.VisioViewer,Latest,Microsoft Visio 2016 Viewer allows anyone to view Visio drawings inside their Microsoft Internet Explorer Web browser.
Microsoft .NET SDK 7.0,Microsoft.DotNet.SDK.7,Dotnet 7.0
